word,is_neologism,short_definition,long_definition,origin,usage
brain rot,Y,Mindless digital content; the fixation on it and harmful mental effects of it,"Brain rot refers to material of low or addictive quality, typically in online media, that preoccupies someone to the point it is said to affect mental functioning. Both the state of preoccupation and resulting mental degradation are known as brain rot.","Brain rot combines brain (in the sense of “mind, intellect, critical faculties”) and rot (meaning “a state of disease or decay,” as in food or wood).

The term gained mainstream attention in 2023 and 2024 in connection to several trends involving repetitive, nonsensical use of content about such Internet slang terms as Fanum tax, gyatt, sigma, skibidi, and rizz. Around this time, brain rot became the popular name for this content—often absurdist, ironic, and intentionally poor in quality—as well as for an unhealthy state of being addicted to and addled by it.

While newly prominent, the term it is not itself new, and can be found in several independent cases since at least the mid-1800s. The earliest known example comes, notably, from Henry David Thoreau in his 1854 book Walden: “While England endeavors to cure the potato-rot, will not any endeavor to cure the brain-rot, which prevails so much more widely and fatally?” As a term in specific reference to digital media production and consumption, brain rot has been in use since the early 2000s.","Brain rot can be used as a noun itself (‘Stop looking at that brain rot’) as well as attributively, to modify another noun (‘My brother wouldn’t stop using all this brain rot YouTube lingo at the dinner table’). Depending on speaker and context, its tone can range from dismissively pejorative (‘worthless brain rot’) to ironically playful (‘just published some new brain rot for my fans’).

Brain rot is not itself an official medical condition. However, some healthcare practitioners or related experts may use the term colloquially in association with a phenomenon known as Problematic Interactive Media Use, involving symptoms of cognitive impairment resulting from overconsumption of digital media."
canon event,Y,A formative life experience; a relatable episode of good fortune or hardship,"A canon event is an experience in a person’s life that comes to shape or define who they are. On social media, it is commonly used to refer to relatable, often embarrassing, incidents that happen to people in the course of everyday life as a playful comment on personal growth.","Canon event was popularized by Spider-Man: Across the Spider-Verse, a 2023 animated film featuring different versions of the superhero Spider-Man, set in a fictional multiverse. In one scene, a Spider-Man explains to another that, despite their differences, every Spider-Man undergoes similar painful experiences in their lives—which the film calls canon events—that form their shared, distinct identity as Spider-Man characters, and that attempts to interfere with these events have disastrous consequences. The death of Spider-Man’s uncle, for example, is one such canon event. This scene of the film sparked a social media trend immediately after its release in June 2023. The trend, which went viral on TikTok, featured people making humorous exaggerations of minor embarrassing episodes or awkward phases, and describing them as canon events pivotal to their growth and development. Many videos of the trend used music from the specific scene in the Spider-Man film, captioning the observation they are sharing with “I can’t interfere, it’s a canon event.”

The canon in canon event refers to sanctioned or accepted plot points, characters, and other aspects of storylines that govern fictional worlds, especially in multimedia franchises adapted from comic books, science fiction, or fantasy. Canon, originally meaning “a rule or law, especially decreed by a church,” evolved as a term for other officially recognized books or other creative works. While similar uses of the specific phrase canon event do predate (and likely influenced its use in) Spider-Man: Across the Spider-Verse, the film and subsequent Internet trend spread general use of the term and cemented its meaning in reference to specific events in fictional media.
","Canon event is primarily used on social media to refer to incidents that have happened to a person. It might refer to a commonplace setback, such as getting a cold, or a more intense trial, such as experiencing a breakup. The term can also be used in describing a positive development in one’s life, such as earning a promotion at work. The term has evolved from its original use, and now informally (and often playfully) captures various highs and lows that a person experiences, and which provide a universal observation on a common human experience."
cheugy,Y,Makes fun of being uncool,"Cheugy is a slang way of calling someone or something uncool or unfashionable, especially when seen as slightly cringeworthy or trying too hard. It’s mainly used as a jokey put-down of trends stereotypically associated with millennials.","Cheugy was first used by a group of young women in the 2010s. They used the word to poke fun at other young women whose taste, fashion, and self-presentation they found to be outmoded and overearnest enough to be considered uncool, basic, or cringy.

In March 2021, a young woman named Hallie Cain posted on TikTok about her and her friends using the word. That post went viral. Covering the story for the New York Times in April, journalist Taylor Lorenz traced cheugy back to Gaby Rasson, a twentysomething woman from Los Angeles who said she coined the term and used it with her friends in high school in 2013. Why cheugy? It’s a nonsense formation, but Rasson has said it simply sounded right.","Taylor Lorenz’s story itself went viral in its own way, resulting in widespread media coverage of the term cheugy. The sudden popularity gave the slang word mainstream attention, but use of the term became widely self-referential—that is, about how cheugy is itself a word and trend or having fun calling different things cheugy on social media. By summer 2021, a common joke was that the word cheugy was cheugy.

Examples and use of cheugy tend to center on the lifestyle associated with millennials, particularly women and what clothing they wear, what things they buy, and how they act and present their lives online. Use of the word remains both self-aware and self-deprecating, with cheugy not being a wholly bad quality and one that people like to claim for themselves. Someone thought of as cheugy is humorously called a cheug. The connotation is a little judgy but ultimately joky. As trends shift, what’s considered cheugy shifts—including the word itself, which has seen some playful but slightly more genuine uptake since its 2021 peak, especially in women’s lifestyle and fashion media."
copium,Y,An Internet taunt for a delusional loser,Copium is a slang term for denial or rationalization in the face of defeat or failure. It is presented as a metaphorical drug people take when dealing with losing a game or otherwise being disappointed.,"Copium is a blend of the verb cope, as in dealing with adversity, and opium, the highly addictive narcotic drug. The implication of copium is that, rather than honestly accept defeat, someone deals (copes) with it by numbing their pain through denial or the like (as if taking opium).

Various people probably coined copium independently in the 2000s. In July 2019, the word specifically appeared in a meme posted on a 4chan forum featuring an image depicting the Internet character Pepe the Frog breathing with a mask and tube from a tank labeled 'copium,' as if inhaling oxygen or anesthesia. While early instances of copium memes were used in political contexts, the term spread online especially in gaming communities.","Sometimes, copium is issued as a single-word response in chats or forums to tease or troll someone perceived to be making excuses for losing ('I can't believe we lost!' ""Copium') Other times, the word is used in figures of speech that riff on the term as a fictional narcotic ('keep huffing copium' or 'you're taking a massive dose of copium'). As it became more widespread on social media and streaming platforms in the early 2020s, many people started using the word ironically to make fun of themselves. Increasingly, copium is being used more generally as a term for the state of denial or self-justification.

While copium still frequently occurs in gaming, it is also commonly found in discussions of sports and politics and in fandoms, such as for anime. A similar term is hopium, which refers to perceived states of false hope."
cottagecore,Y,"Quaint, cozy, and modest fashion and style drawn from bucolic inspirations","Cottagecore is an aesthetic trend, especially among women, marked by clothing, decor, and activities associated with traditional pastoral lifestyles. It is particularly inspired by nostalgic, romanticized conceptions of the English countryside or American homesteading. Some hallmarks of cottagecore include floral prints, flowing dresses, rustic interior design, homey atmosphere, and an interest in gardening, baking, and handicrafts.","Cottagecore combines cottage and -core. Cottage alludes to picturesque English country cottages that the aesthetic evokes. The combining form -core originally came from hardcore (when used for a raucous type of punk rock music), but now can refer to fashion and design trends characterized by a distinctive aesthetic. Other examples include Barbiecore, cluttercore, goblincore, grandmacore, normcore, and tenniscore, as well as countrycore and farmcore (both of which are similar to cottagecore).

The word has been in use online since the late 2010s, and spread in popularity in 2020, driven by people’s experience of lockdown during the COVID-19 pandemic and the stress associated with contemporary life and technology. Taylor Swift, who had a hit album, Folklore, in the summer of 2020, is widely viewed both as embodying cottagecore and helping fuel its rise in popularity.","Cottagecore is primarily used in reference to women’s fashion and home decor, especially on social media, including as a hashtag. It is often used to modify another noun (a noun that modifies another noun is called attributive), as in a “cottagecore wedding dress” or “cottagecore kitchen renovation.” The word and style remains associated with activities like gardening, baking, sewing, and foraging (although less so than during its popularity in 2020), as well as valuing a simpler and more natural (albeit idealized) way of living."
crash out,Y,"to become suddenly, uncontrollably angry or distressed","To crash out is to become suddenly, uncontrollably angry or distressed.","Though earlier evidence of this usage exists, several online sources credit a 2017 song by Baton Rouge rapper NBA YoungBoy featuring the lyric “crash out if I’m nervous” with popularizing it.","Somewhat synonymously with snap (“to give way suddenly under emotional stress or strain”) and freak out (“to react with extreme or irrational distress or discomposure”). Crash out can also be used as a noun to refer to a specific instance of crashing out.

Crash out has other, previously established meanings as well (related to vehicular accidents and sleeping, to name two examples), which can sometimes cause confusion."
delulu,Y,Delusional; audaciously self-confident,"Delulu is an Internet slang term for “delusional.” In some contexts, it refers to an unapologetic, bold, and often joyously self-confident belief in the likelihood of realizing one’s ambitions.","Delulu is shortened from delusional. To get technical, it features a reduplicated -lu- for expressive effect. The word emerged in the early 2010s among K-pop fandom online (although it may have been coined elsewhere and earlier), where it was especially used as a mild rebuke of opinions about celebrity “stanning” (being an obsessive fan) and “shipping” (hoping for romantic relationships between famous people) seen as irrational, obsessive, or otherwise ridiculous. It spread outside K-pop as a more general term for “delusional” across social media in the early 2020s.

Especially among young women on TikTok starting in 2023, delulu shifted to characterize confidence in achieving one’s aspirations in life—no matter how delusional it may be to think so. This sentiment was playfully captured in the phrases delulu is the solulu (“delusion is the solution”) and may all your delulu come trululu (“may all your delusions come true”), with solulu and trululu modeled on delulu. In this context, it is associated with popular practices such as manifestation and positive psychology.","Delulu is commonly used as an adjective much in the manner of calling someone or something “crazy,” as in “My boyfriend is delulu to think he can get away with that behavior,” “I’m so delulu about that actor and her new movie,” or “It’s delulu, but I’m going to apply for that dream job anyways.” Sometimes it can function as a noun, especially in its expanded, positive “self-confident” sense. The word still has currency in the context of fandoms, including K-pop, especially for expressing intense affection towards stars or fictional relationships. It also often appears in the phrase delulu land, akin to la-la land."
enshittification,Y,"When a digital platform is made worse for users, in order to increase profits","Enshittification is an informal word used to criticize the degradation in the quality and experience of online platforms over time, due to an increase in advertisements, costs, or features. It can also refer more generally to any state of deterioration, especially in politics or society. Similar forms include enshittify and enshittified.","Enshittification is an archly elaborate formation for “having been made shittier,” or “worsened.” It combines the vulgarism shit, the prefix en- (“cause to be”), and -ification (a noun combining form meaning “making” or “producing”). Several independent coinages of enshittification are found online in the 2010s, with evidence for the similar shittification seen even earlier.

The term was popularized by the Canadian writer Cory Doctorow starting in 2022, when he suggested a patterned decline in the quality of online platforms resulted from capitalistic incentives. Doctorow explained the decline as a process in which a platform first offers value to users, then to other businesses, then back to themselves and shareholders after it dominates the market. He notably applied the word enshittification in critiques of Big Tech companies and social media sites.

Enshittification received considerable attention in 2023, after the American Dialect Society chose it as its Word of the Year (followed by Australia’s Macquarie Dictionary doing so in 2024).","Enshittification is most commonly used to call out degraded user experiences of tech platforms, especially social media, streaming sites, and on-demand services. The word is also used to voice concerns about the erosion of social conditions, especially when thought to be worsened by capitalism or conservatism.

Its similar form, enshittify, is widely used as a transitive verb for the action of enshittification (“The new CEO enshittified the site with distracting AI tools”), as well as an intransitive one for this process (“The service kept enshittifying so I stopped using it.”) Something that has undergone enshittification is described as enshittified. Enshittification is subject to other playful formations, too, such as enshittificatory (“causing or serving to enshittify”)."
Fanum tax,Y,Taking someone else’s food; an Internet gibberish term,Fanum tax is a humorous Internet slang term for stealing someone’s food (or other item) or being entitled to some of it. It is widely used as a nonsensical expression and meme online.,"Fanum tax began in 2022 as a comedic bit performed by popular Internet gaming streamer Roberto Escanio, who goes by the name Fanum online. During videos, Fanum would charge friends who were eating a joke “tax” in the form of a bite or portion of the food they were otherwise enjoying for themselves. They called this behavior the Fanum tax. The phrase and gag spread massively in 2023 on gaming platforms and social media, especially after Fanum “taxed” friends who were also popular streamers, including Kai Cenat, known for popularizing the slang term rizz, meaning “charm, attractiveness.”

In October 2023, Fanum tax went viral—and into mainstream attention—after TikToker @ovp.9 featured the phrase in the lyrics of a song and video, called Sticking Out Your Gyatt for the Rizzler (Fanum Tax): “Sticking out your gyatt for the Rizzler / You're so Skibidi, you're so Fanum Tax / I just want to be your Sigma.” The lyrics are intentionally unintelligible, meant to parody memetic Internet slang terms, like gyatt and skibidi, seen as overused by young people to the point of meaninglessness.","Fanum tax is still used in its original sense of stealing a portion of someone’s food, although this usage remains closely associated with the content and personality of the streamer Fanum. This usage is also subject to puns and other wordplay, such as Fanum tax evasion or a 10% Fanum tax. It is sometimes extended metaphorically to refer to anything felt to be taken unfairly or aggressively diminished in some way. In these senses, the phrase is often used as a verb, as in “My wife’s french fries looked so good that I just I had to Fantum tax her” or “The quarterback totally got Fantum taxed when the wide receiver batted down his pass.” Occasionally, drawing from its use in the lyric “you’re so Fanum tax,” the term can mean “attractive” or “excellent.”

More commonly, due to its sudden and extensive popularity online in 2023, Fanum tax is used ironically—and with a kind of performative randomness, absurdity, and impulsivity—as a complete nonsense expression. The intent of this use is varied: it can signal in-group identity, mock Internet culture, or sometimes be a way to joke around and baffle people not in the know. In this way, the term frequently appears with other Internet slang terms, again such as gyatt and skibidi as well as rizz and Ohio, that have evolved into a form of gibberish sometimes referred to as “brain rot” and stereotyped as part of Generation Alpha’s unhealthy digital lifestyles. That’s so skibidi fanum tax sigma of those Ohio rizzlers!"
grindset,Y,Unrelenting self-dedication,"Grindset is a mindset fanatical about grinding, or extreme striving towards one’s goals. The term frequently appears in the phrase on the grindset, “working assiduously,” and sigma (male) grindset, a meme satirizing hypermasculine striving for wealth and status.","Grindset is a punning blend of grind and mindset, and started being used in the late 2010s. This sense of grind (slang for applying oneself relentlessly towards success), which may have been popularized by video game slang earlier in the 2010s, is ultimately rooted in much older senses of the word concerning drudgery and monotonous work. This grind is also closely associated with what is often called hustle culture, criticized as glamorizing overwork.

In the early 2020s, grindset was featured in memes about the sigma male grindset or simply sigma grindset, mocking the relentless pursuit of money, power, fitness, and women among so-called the sigma (male)—a man whose self-assured, dogged individualism is considered a model of status, success, and attractiveness.","Use of grindset varies by speaker and context. It is often used positively to refer to hard work and associated with a variety of admirable qualities, including perseverance and resilience. Here, the term commonly appears in the phrase on the grindset. It is also often used negatively, referring more generally to the glorification of overwork and self-improvement—and, more specifically, the idolization of avarice and hypermasculinity. For the latter use, it often appears in the expression sigma (male) grindset.

As with many terms popular online, playful and ironic uses of grindset are common as well, and it is found used in wordplay, such as rise-and-grindset, a pun on the expression rise and shine. Grindset is also often used alongside locked in, an informal expression for being extremely focused, as in 'I locked into my grindset and finished two major projects today.'"
